date,value
30-06-91,3.526591
31-07-91,3.180891
31-08-91,3.252221
30-09-91,3.611003
31-10-91,3.565869
30-11-91,4.306371
31-12-91,5.088335
31-01-92,2.81452
29-02-92,2.985811
31-03-92,3.20478
30-04-92,3.127578
31-05-92,3.270523
30-06-92,3.73785082
31-07-92,3.55877609
31-08-92,3.77720173
30-09-92,3.92449042
31-12-93,6.73147308
31-01-94,3.84127758
28-02-94,4.39407557
31-03-94,4.07534073
30-04-94,4.5406449
31-05-94,4.64561508
30-06-94,4.75260653
31-07-94,5.35060467
31-08-94,5.20445484
30-09-94,5.3016513
31-10-94,5.77374216
30-11-94,6.20459348
31-12-94,6.74948382
31-01-95,4.21606735
28-02-95,4.94934946
31-03-95,4.8230449
30-04-95,5.19475419
31-05-95,5.17078711
30-06-95,5.25674157
31-07-95,5.85527729
31-08-95,5.49072901
30-09-95,6.11529323
31-10-95,6.08847284
30-11-95,7.41659792
31-12-95,8.32945212
31-01-96,5.06979585
29-02-96,5.26255667
31-03-96,5.59712628
30-04-96,6.110296
31-05-96,5.68916084
30-06-96,6.48684933
31-07-96,6.30056933
31-01-97,5.27791837
28-02-97,5.71430345
31-03-97,6.21452908
30-04-97,6.41192919
31-05-97,6.66771564
30-06-97,7.05083102
31-07-97,6.70491861
31-08-97,7.25098761
30-09-97,7.81973318
31-10-97,7.39810106
30-11-97,10.09623339
31-12-97,8.79851303
31-01-98,5.91826076
28-02-98,6.53449298
31-03-98,6.67573561
30-04-98,7.06420058
31-05-98,7.38338118
30-06-98,7.81349587
31-07-98,7.43189221
31-08-98,8.27511722
30-09-98,8.26044138
31-10-98,8.59615575
30-11-98,10.55893902
31-12-98,10.3914156
31-01-99,6.42153456
28-02-99,8.06261937
31-03-99,7.2977391
30-04-99,7.93691594
31-05-99,8.16532298
30-06-99,8.71742046
31-07-99,9.07096378
31-08-99,9.17711337
30-09-99,9.25188674
31-10-99,9.93313643
30-11-99,11.53297428
31-12-99,12.51146235
31-01-00,7.45719853
29-02-00,8.59119084
31-01-01,8.04927477
28-02-01,10.31289116
31-03-01,9.75335821
30-04-01,10.85038183
31-05-01,9.96171916
30-06-01,11.44360144
31-07-01,11.65923889
31-08-01,10.64705979
30-09-01,12.65213444
31-10-01,13.67446631
30-11-01,12.96573509
31-12-01,16.30026927
31-01-02,9.05348536
28-02-02,10.00244879
31-03-02,10.78875007
30-11-02,15.13491784
31-12-02,16.82834968
31-01-03,9.80021461
28-02-03,10.81699371
31-03-03,10.65422256
30-04-03,12.51232269
31-05-03,12.16120969
30-06-03,12.9980462
31-07-03,12.51727568
31-08-03,13.26865761
30-09-03,14.73362169
31-10-03,13.66938174
30-11-03,16.50396561
31-12-03,18.00376795
31-01-04,11.93802987
29-02-04,12.9979001
31-03-04,12.88264507
30-04-04,13.94344681
31-05-04,13.9894722
30-06-04,15.33909742
31-07-04,15.37076394
31-08-04,16.142005
30-09-04,16.685754
31-10-04,17.636728
30-11-04,18.869325
31-12-04,20.778723
31-01-05,12.154552
28-02-05,13.402392
31-03-05,14.459239
30-04-05,14.795102
31-05-05,15.705248
30-06-05,15.82955
31-07-05,17.554701
31-08-05,18.100864
30-09-05,17.496668
31-03-06,14.233539
30-04-06,17.783058
31-05-06,16.291602
30-06-06,16.980282
31-07-06,18.612189
31-08-06,16.623343
30-09-06,21.430241
31-10-06,23.575517
30-11-06,23.334206
31-12-06,28.038383
31-01-07,16.763869
28-02-07,19.792754
31-03-07,16.427305
30-04-07,21.000742
31-05-07,20.681002
30-06-07,21.83489
31-01-08,21.654285
29-02-08,18.264945
31-03-08,23.107677
30-04-08,22.91251
31-05-08,19.43174
